seed,configuration,ablated,unknown_enabled,sanity_gate_enabled,asymmetric_decay_enabled,persistence_required,convergence_threshold,run_log,records
789,SA,SA,True,False,False,True,0.3,results/ablation/SA_t030_789.jsonl,2889
1024,SA,SA,True,False,False,True,0.3,results/ablation/SA_t030_1024.jsonl,2889
42,SA,SA,True,False,False,True,0.5,results/ablation/SA_t050_42.jsonl,2889
123,SA,SA,True,False,False,True,0.5,results/ablation/SA_t050_123.jsonl,2889
456,SA,SA,True,False,False,True,0.5,results/ablation/SA_t050_456.jsonl,2889
789,SA,SA,True,False,False,True,0.5,results/ablation/SA_t050_789.jsonl,2889
1024,SA,SA,True,False,False,True,0.5,results/ablation/SA_t050_1024.jsonl,2889
42,SA,SA,True,False,False,True,0.8,results/ablation/SA_t080_42.jsonl,2889
123,SA,SA,True,False,False,True,0.8,results/ablation/SA_t080_123.jsonl,2889
456,SA,SA,True,False,False,True,0.8,results/ablation/SA_t080_456.jsonl,2889
789,SA,SA,True,False,False,True,0.8,results/ablation/SA_t080_789.jsonl,2889
1024,SA,SA,True,False,False,True,0.8,results/ablation/SA_t080_1024.jsonl,2889
42,SAP,SAP,True,False,False,False,0.3,results/ablation/SAP_t030_42.jsonl,2648
123,SAP,SAP,True,False,False,False,0.3,results/ablation/SAP_t030_123.jsonl,2642
456,SAP,SAP,True,False,False,False,0.3,results/ablation/SAP_t030_456.jsonl,2625
789,SAP,SAP,True,False,False,False,0.3,results/ablation/SAP_t030_789.jsonl,2650
1024,SAP,SAP,True,False,False,False,0.3,results/ablation/SAP_t030_1024.jsonl,2633
42,SAP,SAP,True,False,False,False,0.5,results/ablation/SAP_t050_42.jsonl,2889
123,SAP,SAP,True,False,False,False,0.5,results/ablation/SAP_t050_123.jsonl,2889
456,SAP,SAP,True,False,False,False,0.5,results/ablation/SAP_t050_456.jsonl,2889
789,SAP,SAP,True,False,False,False,0.5,results/ablation/SAP_t050_789.jsonl,2889
1024,SAP,SAP,True,False,False,False,0.5,results/ablation/SAP_t050_1024.jsonl,2889
42,SAP,SAP,True,False,False,False,0.8,results/ablation/SAP_t080_42.jsonl,2889
123,SAP,SAP,True,False,False,False,0.8,results/ablation/SAP_t080_123.jsonl,2889
456,SAP,SAP,True,False,False,False,0.8,results/ablation/SAP_t080_456.jsonl,2889
789,SAP,SAP,True,False,False,False,0.8,results/ablation/SAP_t080_789.jsonl,2889
1024,SAP,SAP,True,False,False,False,0.8,results/ablation/SAP_t080_1024.jsonl,2889
42,SP,SP,True,False,True,False,0.3,results/ablation/SP_t030_42.jsonl,2648
123,SP,SP,True,False,True,False,0.3,results/ablation/SP_t030_123.jsonl,2642
456,SP,SP,True,False,True,False,0.3,results/ablation/SP_t030_456.jsonl,2625
789,SP,SP,True,False,True,False,0.3,results/ablation/SP_t030_789.jsonl,2650
1024,SP,SP,True,False,True,False,0.3,results/ablation/SP_t030_1024.jsonl,2633
42,SP,SP,True,False,True,False,0.5,results/ablation/SP_t050_42.jsonl,2889
123,SP,SP,True,False,True,False,0.5,results/ablation/SP_t050_123.jsonl,2889
456,SP,SP,True,False,True,False,0.5,results/ablation/SP_t050_456.jsonl,2889
789,SP,SP,True,False,True,False,0.5,results/ablation/SP_t050_789.jsonl,2889
1024,SP,SP,True,False,True,False,0.5,results/ablation/SP_t050_1024.jsonl,2889
42,SP,SP,True,False,True,False,0.8,results/ablation/SP_t080_42.jsonl,2889
123,SP,SP,True,False,True,False,0.8,results/ablation/SP_t080_123.jsonl,2889
456,SP,SP,True,False,True,False,0.8,results/ablation/SP_t080_456.jsonl,2889
789,SP,SP,True,False,True,False,0.8,results/ablation/SP_t080_789.jsonl,2889
1024,SP,SP,True,False,True,False,0.8,results/ablation/SP_t080_1024.jsonl,2889
42,U,U,False,True,True,True,0.3,results/ablation/U_t030_42.jsonl,2889
123,U,U,False,True,True,True,0.3,results/ablation/U_t030_123.jsonl,2889
456,U,U,False,True,True,True,0.3,results/ablation/U_t030_456.jsonl,2889
789,U,U,False,True,True,True,0.3,results/ablation/U_t030_789.jsonl,2889
1024,U,U,False,True,True,True,0.3,results/ablation/U_t030_1024.jsonl,2889
42,U,U,False,True,True,True,0.5,results/ablation/U_t050_42.jsonl,2889
123,U,U,False,True,True,True,0.5,results/ablation/U_t050_123.jsonl,2889
456,U,U,False,True,True,True,0.5,results/ablation/U_t050_456.jsonl,2889
789,U,U,False,True,True,True,0.5,results/ablation/U_t050_789.jsonl,2889
1024,U,U,False,True,True,True,0.5,results/ablation/U_t050_1024.jsonl,2889
42,U,U,False,True,True,True,0.8,results/ablation/U_t080_42.jsonl,2889
123,U,U,False,True,True,True,0.8,results/ablation/U_t080_123.jsonl,2889
456,U,U,False,True,True,True,0.8,results/ablation/U_t080_456.jsonl,2889
789,U,U,False,True,True,True,0.8,results/ablation/U_t080_789.jsonl,2889
1024,U,U,False,True,True,True,0.8,results/ablation/U_t080_1024.jsonl,2889
42,UA,UA,False,True,False,True,0.3,results/ablation/UA_t030_42.jsonl,2889
123,UA,UA,False,True,False,True,0.3,results/ablation/UA_t030_123.jsonl,2889
456,UA,UA,False,True,False,True,0.3,results/ablation/UA_t030_456.jsonl,2889
789,UA,UA,False,True,False,True,0.3,results/ablation/UA_t030_789.jsonl,2889
1024,UA,UA,False,True,False,True,0.3,results/ablation/UA_t030_1024.jsonl,2889
42,UA,UA,False,True,False,True,0.5,results/ablation/UA_t050_42.jsonl,2889
123,UA,UA,False,True,False,True,0.5,results/ablation/UA_t050_123.jsonl,2889
456,UA,UA,False,True,False,True,0.5,results/ablation/UA_t050_456.jsonl,2889
789,UA,UA,False,True,False,True,0.5,results/ablation/UA_t050_789.jsonl,2889
1024,UA,UA,False,True,False,True,0.5,results/ablation/UA_t050_1024.jsonl,2889
42,UA,UA,False,True,False,True,0.8,results/ablation/UA_t080_42.jsonl,2889
123,UA,UA,False,True,False,True,0.8,results/ablation/UA_t080_123.jsonl,2889
456,UA,UA,False,True,False,True,0.8,results/ablation/UA_t080_456.jsonl,2889
789,UA,UA,False,True,False,True,0.8,results/ablation/UA_t080_789.jsonl,2889
1024,UA,UA,False,True,False,True,0.8,results/ablation/UA_t080_1024.jsonl,2889
42,UAP,UAP,False,True,False,False,0.3,results/ablation/UAP_t030_42.jsonl,1355
123,UAP,UAP,False,True,False,False,0.3,results/ablation/UAP_t030_123.jsonl,1341
456,UAP,UAP,False,True,False,False,0.3,results/ablation/UAP_t030_456.jsonl,1346
789,UAP,UAP,False,True,False,False,0.3,results/ablation/UAP_t030_789.jsonl,1334
1024,UAP,UAP,False,True,False,False,0.3,results/ablation/UAP_t030_1024.jsonl,1322
42,UAP,UAP,False,True,False,False,0.5,results/ablation/UAP_t050_42.jsonl,2720
123,UAP,UAP,False,True,False,False,0.5,results/ablation/UAP_t050_123.jsonl,2709
456,UAP,UAP,False,True,False,False,0.5,results/ablation/UAP_t050_456.jsonl,2713
789,UAP,UAP,False,True,False,False,0.5,results/ablation/UAP_t050_789.jsonl,2700
1024,UAP,UAP,False,True,False,False,0.5,results/ablation/UAP_t050_1024.jsonl,2710
42,UAP,UAP,False,True,False,False,0.8,results/ablation/UAP_t080_42.jsonl,2889
123,UAP,UAP,False,True,False,False,0.8,results/ablation/UAP_t080_123.jsonl,2889
456,UAP,UAP,False,True,False,False,0.8,results/ablation/UAP_t080_456.jsonl,2889
789,UAP,UAP,False,True,False,False,0.8,results/ablation/UAP_t080_789.jsonl,2889
1024,UAP,UAP,False,True,False,False,0.8,results/ablation/UAP_t080_1024.jsonl,2889
42,UP,UP,False,True,True,False,0.3,results/ablation/UP_t030_42.jsonl,1394
123,UP,UP,False,True,True,False,0.3,results/ablation/UP_t030_123.jsonl,1371
456,UP,UP,False,True,True,False,0.3,results/ablation/UP_t030_456.jsonl,1382
789,UP,UP,False,True,True,False,0.3,results/ablation/UP_t030_789.jsonl,1379
1024,UP,UP,False,True,True,False,0.3,results/ablation/UP_t030_1024.jsonl,1362
42,UP,UP,False,True,True,False,0.5,results/ablation/UP_t050_42.jsonl,2723
123,UP,UP,False,True,True,False,0.5,results/ablation/UP_t050_123.jsonl,2711
456,UP,UP,False,True,True,False,0.5,results/ablation/UP_t050_456.jsonl,2716
789,UP,UP,False,True,True,False,0.5,results/ablation/UP_t050_789.jsonl,2706
1024,UP,UP,False,True,True,False,0.5,results/ablation/UP_t050_1024.jsonl,2712
42,UP,UP,False,True,True,False,0.8,results/ablation/UP_t080_42.jsonl,2889
123,UP,UP,False,True,True,False,0.8,results/ablation/UP_t080_123.jsonl,2889
456,UP,UP,False,True,True,False,0.8,results/ablation/UP_t080_456.jsonl,2889
789,UP,UP,False,True,True,False,0.8,results/ablation/UP_t080_789.jsonl,2889
1024,UP,UP,False,True,True,False,0.8,results/ablation/UP_t080_1024.jsonl,2889
42,US,US,False,False,True,True,0.3,results/ablation/US_t030_42.jsonl,2889
123,US,US,False,False,True,True,0.3,results/ablation/US_t030_123.jsonl,2889
456,US,US,False,False,True,True,0.3,results/ablation/US_t030_456.jsonl,2889
789,US,US,False,False,True,True,0.3,results/ablation/US_t030_789.jsonl,2889
1024,US,US,False,False,True,True,0.3,results/ablation/US_t030_1024.jsonl,2889
42,US,US,False,False,True,True,0.5,results/ablation/US_t050_42.jsonl,2889
123,US,US,False,False,True,True,0.5,results/ablation/US_t050_123.jsonl,2889
456,US,US,False,False,True,True,0.5,results/ablation/US_t050_456.jsonl,2889
789,US,US,False,False,True,True,0.5,results/ablation/US_t050_789.jsonl,2889
1024,US,US,False,False,True,True,0.5,results/ablation/US_t050_1024.jsonl,2889
42,US,US,False,False,True,True,0.8,results/ablation/US_t080_42.jsonl,2889
123,US,US,False,False,True,True,0.8,results/ablation/US_t080_123.jsonl,2889
456,US,US,False,False,True,True,0.8,results/ablation/US_t080_456.jsonl,2889
789,US,US,False,False,True,True,0.8,results/ablation/US_t080_789.jsonl,2889
1024,US,US,False,False,True,True,0.8,results/ablation/US_t080_1024.jsonl,2889
42,USA,USA,False,False,False,True,0.3,results/ablation/USA_t030_42.jsonl,2889
123,USA,USA,False,False,False,True,0.3,results/ablation/USA_t030_123.jsonl,2889
456,USA,USA,False,False,False,True,0.3,results/ablation/USA_t030_456.jsonl,2889
789,USA,USA,False,False,False,True,0.3,results/ablation/USA_t030_789.jsonl,2889
1024,USA,USA,False,False,False,True,0.3,results/ablation/USA_t030_1024.jsonl,2889
42,USA,USA,False,False,False,True,0.5,results/ablation/USA_t050_42.jsonl,2889
123,USA,USA,False,False,False,True,0.5,results/ablation/USA_t050_123.jsonl,2889
456,USA,USA,False,False,False,True,0.5,results/ablation/USA_t050_456.jsonl,2889
789,USA,USA,False,False,False,True,0.5,results/ablation/USA_t050_789.jsonl,2889
1024,USA,USA,False,False,False,True,0.5,results/ablation/USA_t050_1024.jsonl,2889
42,USA,USA,False,False,False,True,0.8,results/ablation/USA_t080_42.jsonl,2889
123,USA,USA,False,False,False,True,0.8,results/ablation/USA_t080_123.jsonl,2889
456,USA,USA,False,False,False,True,0.8,results/ablation/USA_t080_456.jsonl,2889
789,USA,USA,False,False,False,True,0.8,results/ablation/USA_t080_789.jsonl,2889
1024,USA,USA,False,False,False,True,0.8,results/ablation/USA_t080_1024.jsonl,2889
42,USAP,USAP,False,False,False,False,0.3,results/ablation/USAP_t030_42.jsonl,1604
123,USAP,USAP,False,False,False,False,0.3,results/ablation/USAP_t030_123.jsonl,1551
456,USAP,USAP,False,False,False,False,0.3,results/ablation/USAP_t030_456.jsonl,1565
789,USAP,USAP,False,False,False,False,0.3,results/ablation/USAP_t030_789.jsonl,1554
1024,USAP,USAP,False,False,False,False,0.3,results/ablation/USAP_t030_1024.jsonl,1568
42,USAP,USAP,False,False,False,False,0.5,results/ablation/USAP_t050_42.jsonl,2850
123,USAP,USAP,False,False,False,False,0.5,results/ablation/USAP_t050_123.jsonl,2853
456,USAP,USAP,False,False,False,False,0.5,results/ablation/USAP_t050_456.jsonl,2844
789,USAP,USAP,False,False,False,False,0.5,results/ablation/USAP_t050_789.jsonl,2844
1024,USAP,USAP,False,False,False,False,0.5,results/ablation/USAP_t050_1024.jsonl,2857
42,USAP,USAP,False,False,False,False,0.8,results/ablation/USAP_t080_42.jsonl,2889
123,USAP,USAP,False,False,False,False,0.8,results/ablation/USAP_t080_123.jsonl,2889
456,USAP,USAP,False,False,False,False,0.8,results/ablation/USAP_t080_456.jsonl,2889
789,USAP,USAP,False,False,False,False,0.8,results/ablation/USAP_t080_789.jsonl,2889
1024,USAP,USAP,False,False,False,False,0.8,results/ablation/USAP_t080_1024.jsonl,2889
42,USP,USP,False,False,True,False,0.3,results/ablation/USP_t030_42.jsonl,1631
123,USP,USP,False,False,True,False,0.3,results/ablation/USP_t030_123.jsonl,1573
456,USP,USP,False,False,True,False,0.3,results/ablation/USP_t030_456.jsonl,1592
789,USP,USP,False,False,True,False,0.3,results/ablation/USP_t030_789.jsonl,1583
1024,USP,USP,False,False,True,False,0.3,results/ablation/USP_t030_1024.jsonl,1596
42,USP,USP,False,False,True,False,0.5,results/ablation/USP_t050_42.jsonl,2853
123,USP,USP,False,False,True,False,0.5,results/ablation/USP_t050_123.jsonl,2855
456,USP,USP,False,False,True,False,0.5,results/ablation/USP_t050_456.jsonl,2848
789,USP,USP,False,False,True,False,0.5,results/ablation/USP_t050_789.jsonl,2850
1024,USP,USP,False,False,True,False,0.5,results/ablation/USP_t050_1024.jsonl,2859
42,USP,USP,False,False,True,False,0.8,results/ablation/USP_t080_42.jsonl,2889
123,USP,USP,False,False,True,False,0.8,results/ablation/USP_t080_123.jsonl,2889
456,USP,USP,False,False,True,False,0.8,results/ablation/USP_t080_456.jsonl,2889
789,USP,USP,False,False,True,False,0.8,results/ablation/USP_t080_789.jsonl,2889
1024,USP,USP,False,False,True,False,0.8,results/ablation/USP_t080_1024.jsonl,2889
